@relation covid_cases

@attribute id numeric
@attribute Date date 'yyyy-MM-dd'
@attribute phu_name {'ALGOMA DISTRICT','BRANT COUNTY','CHATHAM-KENT','CITY OF HAMILTON','CITY OF OTTAWA','DURHAM REGION','EASTERN ONTARIO','GREY BRUCE','HALDIMAND-NORFOLK','HALIBURTON, KAWARTHA, PINE RIDGE','HALTON REGION','HASTINGS & PRINCE EDWARD COUNTIES','HURON PERTH','KINGSTON, FRONTENAC, LENNOX & ADDINGTON','LAMBTON COUNTY','LEEDS, GRENVILLE AND LANARK DISTRICT',MIDDLESEX-LONDON,'NIAGARA REGION','NORTH BAY PARRY SOUND DISTRICT','NORTHWESTERN','OXFORD ELGIN-ST.THOMAS','PEEL REGION','PETERBOROUGH COUNTY-CITY','PORCUPINE','RENFREW COUNTY AND DISTRICT','SIMCOE MUSKOKA DISTRICT','SOUTHWESTERN','SUDBURY AND DISTRICT','THUNDER BAY DISTRICT','TIMISKAMING','TORONTO','UNKNOWN','WATERLOO REGION','WELLINGTON-DUFFERIN-GUELPH','WINDSOR-ESSEX COUNTY','YORK REGION'}
@attribute phu_num numeric
@attribute active_cases numeric
@attribute resolved_cases numeric
@attribute deaths numeric

@data
176,2020-04-06,'DURHAM REGION',2230,132,88,15
177,2020-04-06,'EASTERN ONTARIO',2258,21,22,0
178,2020-04-06,'GREY BRUCE',2233,9,10,0
179,2020-04-06,'HALDIMAND-NORFOLK',2234,51,9,5
180,2020-04-06,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,30,56,12
181,2020-04-06,'HALTON REGION',2236,81,63,3
182,2020-04-06,'HASTINGS & PRINCE EDWARD COUNTIES',2238,14,6,1
183,2020-04-06,'HURON PERTH',5183,12,4,1
184,2020-04-06,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,27,25,0
185,2020-04-06,'LAMBTON COUNTY',2242,55,14,8
186,2020-04-06,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,36,18,3
187,2020-04-06,'MIDDLESEX-LONDON',2244,101,24,5
188,2020-04-06,'NIAGARA REGION',2246,76,53,7
189,2020-04-06,'NORTH BAY PARRY SOUND DISTRICT',2247,1,3,0
190,2020-04-06,'NORTHWESTERN',2249,1,3,0
191,2020-04-06,'OXFORD ELGIN-ST.THOMAS',4913,9,7,2
192,2020-04-06,'PEEL REGION',2253,378,146,5
193,2020-04-06,'PETERBOROUGH COUNTY-CITY',2255,21,21,0
194,2020-04-06,'PORCUPINE',2256,18,11,0
195,2020-04-06,'RENFREW COUNTY AND DISTRICT',2257,3,3,1
196,2020-04-06,'SIMCOE MUSKOKA DISTRICT',2260,47,33,5
197,2020-04-06,'SUDBURY AND DISTRICT',2261,11,14,1
198,2020-04-06,'THUNDER BAY DISTRICT',2262,11,2,0
199,2020-04-06,'TIMISKAMING',2263,1,2,0
200,2020-04-06,'TORONTO',3895,595,415,29
201,2020-04-06,'WATERLOO REGION',2265,84,68,2
202,2020-04-06,'WELLINGTON-DUFFERIN-GUELPH',2266,64,26,1
203,2020-04-06,'WINDSOR-ESSEX COUNTY',2268,125,31,2
204,2020-04-06,'YORK REGION',2270,278,158,16
205,2020-04-07,'ALGOMA DISTRICT',2226,3,5,0
206,2020-04-07,'BRANT COUNTY',2227,18,31,1
207,2020-04-07,'CHATHAM-KENT',2240,8,7,1
208,2020-04-07,'CITY OF HAMILTON',2237,75,93,5
209,2020-04-07,'CITY OF OTTAWA',2251,205,177,3
210,2020-04-07,'DURHAM REGION',2230,135,104,16
211,2020-04-07,'EASTERN ONTARIO',2258,21,23,0
212,2020-04-07,'GREY BRUCE',2233,15,10,0
213,2020-04-07,'HALDIMAND-NORFOLK',2234,60,14,5
214,2020-04-07,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,25,61,14
215,2020-04-07,'HALTON REGION',2236,88,70,3
216,2020-04-07,'HASTINGS & PRINCE EDWARD COUNTIES',2238,12,8,1
217,2020-04-07,'HURON PERTH',5183,15,6,1
218,2020-04-07,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,25,27,0
219,2020-04-07,'LAMBTON COUNTY',2242,56,19,8
220,2020-04-07,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,48,21,4
221,2020-04-07,'MIDDLESEX-LONDON',2244,106,30,5
222,2020-04-07,'NIAGARA REGION',2246,83,63,8
223,2020-04-07,'NORTH BAY PARRY SOUND DISTRICT',2247,2,3,0
224,2020-04-07,'NORTHWESTERN',2249,2,4,0
225,2020-04-07,'OXFORD ELGIN-ST.THOMAS',4913,9,9,2
226,2020-04-07,'PEEL REGION',2253,446,160,8
227,2020-04-07,'PETERBOROUGH COUNTY-CITY',2255,17,25,0
228,2020-04-07,'PORCUPINE',2256,19,11,0
229,2020-04-07,'RENFREW COUNTY AND DISTRICT',2257,3,5,1
230,2020-04-07,'SIMCOE MUSKOKA DISTRICT',2260,47,43,5
231,2020-04-07,'SUDBURY AND DISTRICT',2261,11,14,1
232,2020-04-07,'THUNDER BAY DISTRICT',2262,15,2,0
233,2020-04-07,'TIMISKAMING',2263,2,3,0
234,2020-04-07,'TORONTO',3895,625,443,35
235,2020-04-07,'WATERLOO REGION',2265,94,73,3
236,2020-04-07,'WELLINGTON-DUFFERIN-GUELPH',2266,71,27,1
237,2020-04-07,'WINDSOR-ESSEX COUNTY',2268,140,37,4
238,2020-04-07,'YORK REGION',2270,270,174,18
239,2020-04-08,'ALGOMA DISTRICT',2226,2,7,0
240,2020-04-08,'BRANT COUNTY',2227,14,37,1
241,2020-04-08,'CHATHAM-KENT',2240,8,8,1
242,2020-04-08,'CITY OF HAMILTON',2237,72,103,5
243,2020-04-08,'CITY OF OTTAWA',2251,192,212,4
244,2020-04-08,'DURHAM REGION',2230,136,114,19
245,2020-04-08,'EASTERN ONTARIO',2258,19,27,0
246,2020-04-08,'GREY BRUCE',2233,15,12,0
247,2020-04-08,'HALDIMAND-NORFOLK',2234,70,16,6
248,2020-04-08,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,22,65,14
249,2020-04-08,'HALTON REGION',2236,131,88,3
250,2020-04-08,'HASTINGS & PRINCE EDWARD COUNTIES',2238,13,10,1
251,2020-04-08,'HURON PERTH',5183,14,7,1
252,2020-04-08,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,20,33,0
253,2020-04-08,'LAMBTON COUNTY',2242,56,19,8
254,2020-04-08,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,81,28,8
255,2020-04-08,'MIDDLESEX-LONDON',2244,106,36,6
256,2020-04-08,'NIAGARA REGION',2246,89,78,10
257,2020-04-08,'NORTH BAY PARRY SOUND DISTRICT',2247,2,3,0
258,2020-04-08,'NORTHWESTERN',2249,2,4,0
259,2020-04-08,'OXFORD ELGIN-ST.THOMAS',4913,11,10,2
260,2020-04-08,'PEEL REGION',2253,485,183,9
261,2020-04-08,'PETERBOROUGH COUNTY-CITY',2255,11,31,0
262,2020-04-08,'PORCUPINE',2256,17,14,0
263,2020-04-08,'RENFREW COUNTY AND DISTRICT',2257,3,6,1
264,2020-04-08,'SIMCOE MUSKOKA DISTRICT',2260,54,47,5
265,2020-04-08,'SUDBURY AND DISTRICT',2261,10,15,1
266,2020-04-08,'THUNDER BAY DISTRICT',2262,14,3,0
267,2020-04-08,'TIMISKAMING',2263,2,3,0
268,2020-04-08,'TORONTO',3895,753,482,41
